targetB,Brand_name
ENSG00000145675,Margenza
ENSG00000146648,Margenza
ENSG00000152894,Margenza
ENSG00000153201,Margenza
ENSG00000157168,Margenza
ENSG00000162434,Margenza
ENSG00000163399,Margenza
ENSG00000165025,Margenza
ENSG00000168610,Margenza
ENSG00000178568,Margenza
ENSG00000179295,Margenza
ENSG00000197122,Margenza
ENSG00000065361,Kadcyla
ENSG00000072274,Kadcyla
ENSG00000080824,Kadcyla
ENSG00000081237,Kadcyla
ENSG00000082898,Kadcyla
ENSG00000083799,Kadcyla
ENSG00000085832,Kadcyla
ENSG00000091831,Kadcyla
ENSG00000096384,Kadcyla
ENSG00000097007,Kadcyla
ENSG00000101213,Kadcyla
ENSG00000111252,Kadcyla
ENSG00000113263,Kadcyla
ENSG00000123983,Kadcyla
ENSG00000124181,Kadcyla
ENSG00000126934,Kadcyla
ENSG00000127329,Kadcyla
ENSG00000130779,Kadcyla
ENSG00000135605,Kadcyla
ENSG00000136997,Kadcyla
ENSG00000141736,Kadcyla
ENSG00000141968,Kadcyla
ENSG00000143322,Kadcyla
ENSG00000145675,Kadcyla
ENSG00000146648,Kadcyla
ENSG00000152894,Kadcyla
ENSG00000153201,Kadcyla
ENSG00000157168,Kadcyla
ENSG00000162434,Kadcyla
ENSG00000163399,Kadcyla
ENSG00000165025,Kadcyla
ENSG00000168610,Kadcyla
ENSG00000178568,Kadcyla
ENSG00000179295,Kadcyla
ENSG00000197122,Kadcyla
ENSG00000204843,Kadcyla
ENSG00000015285,Enhertu
ENSG00000065361,Enhertu
ENSG00000072274,Enhertu
ENSG00000080824,Enhertu
ENSG00000081237,Enhertu
ENSG00000082898,Enhertu
ENSG00000085832,Enhertu
ENSG00000091831,Enhertu
ENSG00000096384,Enhertu
ENSG00000097007,Enhertu
ENSG00000101213,Enhertu
ENSG00000111252,Enhertu
ENSG00000113263,Enhertu
ENSG00000116560,Enhertu
ENSG00000122566,Enhertu
ENSG00000123983,Enhertu
ENSG00000124181,Enhertu
ENSG00000127329,Enhertu
ENSG00000135605,Enhertu
ENSG00000136997,Enhertu
ENSG00000141736,Enhertu
ENSG00000141968,Enhertu
ENSG00000143322,Enhertu
ENSG00000145675,Enhertu
ENSG00000146648,Enhertu
ENSG00000147140,Enhertu
ENSG00000152894,Enhertu
ENSG00000153201,Enhertu
ENSG00000157168,Enhertu
ENSG00000162434,Enhertu
ENSG00000163399,Enhertu
ENSG00000165025,Enhertu
ENSG00000168610,Enhertu
ENSG00000178568,Enhertu
ENSG00000179295,Enhertu
ENSG00000181163,Enhertu
ENSG00000197122,Enhertu
ENSG00000072062,Rezlidhia
ENSG00000163513,Rezlidhia
ENSG00000179218,Rezlidhia
ENSG00000082805,Rubraca
ENSG00000091831,Rubraca
ENSG00000100030,Rubraca
ENSG00000148737,Rubraca
ENSG00000154767,Rubraca
ENSG00000156052,Rubraca
ENSG00000157554,Rubraca
ENSG00000164305,Rubraca
ENSG00000165392,Rubraca
