"datasourceId","DrugId","phenotypeAssociation"
"chembl","CHEMBL2141296",TRUE
"impc","CHEMBL2141296",TRUE
"cancer_gene_census","CHEMBL4594505",TRUE
"genomics_england","CHEMBL429910",TRUE
"eva","CHEMBL4101807",TRUE
"eva","CHEMBL2107830",TRUE
"slapenrich","CHEMBL4298209",TRUE
"impc","CHEMBL429910",TRUE
"chembl","CHEMBL2103830",TRUE
"eva","CHEMBL1614701",TRUE
"europepmc","CHEMBL2108730",TRUE
"chembl","CHEMBL1743010",TRUE
"impc","CHEMBL1770248",TRUE
"uniprot_variants","CHEMBL4594217",TRUE
"gene_burden","CHEMBL1770248",TRUE
"europepmc","CHEMBL2364653",TRUE
"chembl","CHEMBL2108724",TRUE
"chembl","CHEMBL2103883",TRUE
"chembl","CHEMBL483254",TRUE
"uniprot_variants","CHEMBL2048484",TRUE
"impc","CHEMBL2108027",TRUE
"intogen","CHEMBL3545185",TRUE
"europepmc","CHEMBL1770248",TRUE
"eva","CHEMBL429910",TRUE
"chembl","CHEMBL4594505",TRUE
"europepmc","CHEMBL2107831",TRUE
"impc","CHEMBL4297839",TRUE
"gene_burden","CHEMBL2048484",TRUE
"cancer_gene_census","CHEMBL3545185",TRUE
"europepmc","CHEMBL3545185",TRUE
"europepmc","CHEMBL4297819",TRUE
"gene_burden","CHEMBL2107830",TRUE
"slapenrich","CHEMBL3545185",TRUE
"impc","CHEMBL4594217",TRUE
"impc","CHEMBL2107830",TRUE
"impc","CHEMBL1743007",TRUE
"europepmc","CHEMBL483254",TRUE
"chembl","CHEMBL441738",TRUE
"impc","CHEMBL2108724",TRUE
"uniprot_variants","CHEMBL2107830",TRUE
"cancer_biomarkers","CHEMBL43452",TRUE
"europepmc","CHEMBL2103830",TRUE
"chembl","CHEMBL2048484",TRUE
"chembl","CHEMBL43452",TRUE
"impc","CHEMBL4594505",TRUE
"cancer_gene_census","CHEMBL4298209",TRUE
"chembl","CHEMBL2108730",TRUE
"impc","CHEMBL2107831",TRUE
"eva","CHEMBL2103883",TRUE
"chembl","CHEMBL2108027",TRUE
"europepmc","CHEMBL2141296",TRUE
"europepmc","CHEMBL4594505",TRUE
"chembl","CHEMBL1743007",TRUE
"chembl","CHEMBL512351",TRUE
"chembl","CHEMBL2107830",TRUE
"impc","CHEMBL2107841",TRUE
"europepmc","CHEMBL429910",TRUE
"impc","CHEMBL3833384",TRUE
"chembl","CHEMBL2105759",TRUE
"europepmc","CHEMBL4297590",TRUE
"europepmc","CHEMBL238804",TRUE
"europepmc","CHEMBL1083659",TRUE
"europepmc","CHEMBL3545367",TRUE
"europepmc","CHEMBL4297779",TRUE
"ot_genetics_portal","CHEMBL2107830",TRUE
"chembl","CHEMBL238804",TRUE
"impc","CHEMBL1083659",TRUE
"europepmc","CHEMBL4594320",TRUE
"europepmc","CHEMBL2108676",TRUE
"impc","CHEMBL4297590",TRUE
"europepmc","CHEMBL2103873",TRUE
"europepmc","CHEMBL3989986",TRUE
"impc","CHEMBL2107834",TRUE
"chembl","CHEMBL1083659",TRUE
"europepmc","CHEMBL4204794",TRUE
"chembl","CHEMBL2108336",TRUE
"chembl","CHEMBL2107869",TRUE
"chembl","CHEMBL4297517",TRUE
"europepmc","CHEMBL4216467",TRUE
"ot_genetics_portal","CHEMBL2107834",TRUE
"chembl","CHEMBL3348963",TRUE
"chembl","CHEMBL2010601",TRUE
"chembl","CHEMBL3544914",TRUE
"genomics_england","CHEMBL2010601",TRUE
"ot_genetics_portal","CHEMBL2108738",TRUE
"impc","CHEMBL3545367",TRUE
"chembl","CHEMBL4297590",TRUE
"chembl","CHEMBL2103873",TRUE
"ot_genetics_portal","CHEMBL2181927",TRUE
"europepmc","CHEMBL207538",TRUE
"chembl","CHEMBL2107834",TRUE
"genomics_england","CHEMBL3544914",TRUE
"europepmc","CHEMBL2107869",TRUE
"chembl","CHEMBL4298128",TRUE
"europepmc","CHEMBL2108336",TRUE
"ot_genetics_portal","CHEMBL2048484",TRUE
"ot_genetics_portal","CHEMBL1770248",TRUE
"europepmc","CHEMBL4594250",TRUE
"ot_genetics_portal","CHEMBL4594217",TRUE
"ot_genetics_portal","CHEMBL3989986",TRUE
"ot_genetics_portal","CHEMBL2103873",TRUE
"genomics_england","CHEMBL4298128",TRUE
"chembl","CHEMBL207538",TRUE
"europepmc","CHEMBL4297551",TRUE
"europepmc","CHEMBL2107834",TRUE
"ot_genetics_portal","CHEMBL429910",TRUE
"impc","CHEMBL207538",TRUE
"genomics_england","CHEMBL2103870",TRUE
"chembl","CHEMBL3989986",TRUE
"chembl","CHEMBL2103870",TRUE
"chembl","CHEMBL3545367",TRUE
